Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
758,car,0.84,13,945,299,1129,429,0JTTG,0.03,45,80,93,95,0JTTG
759,car,0.81,13,939,299,1129,429,HD,0.16,45,82,94,96,HD
760,car,0.75,13,933,298,1122,431,HEJ,0.29,45,84,97,99,HEJ
761,car,0.72,13,927,298,1117,433,24,0.26,46,86,98,100,24
762,car,0.58,13,922,296,1114,436,B,0.38,46,89,98,103,B
763,car,0.76,13,916,296,1112,439,QJ0,0.07,46,91,97,104,QJ0
764,car,0.79,13,908,295,1110,440,MZ134,0.06,48,93,101,106,MZ134
765,car,0.74,13,900,294,1107,442,1ZELLD,0.03,48,96,104,110,1ZELLD
766,car,0.64,13,894,295,1104,445,I,0.21,47,96,104,110,I
767,car,0.67,13,887,294,1101,449,FL,0.51,47,99,106,113,FL
768,car,0.67,13,879,294,1098,452,JZUC,0.39,48,101,106,115,JZUC
769,car,0.71,13,871,294,1093,455,HFEI3LC,0.04,51,103,109,117,HFEI3LC
770,car,0.77,13,862,294,1091,458,JPLC,0.55,50,105,111,119,JPLC
771,car,0.87,13,853,294,1088,460,EDZL,0.23,53,106,114,121,EDZL
772,car,0.64,13,842,294,1085,463,IZ3C,0.07,56,107,118,124,IZ3C
773,car,0.71,13,832,293,1082,466,IDZLC,0.03,56,110,120,127,IDZLC
774,car,0.88,13,823,293,1076,469,DZ3GD,0.03,55,112,120,129,DZ3GD
775,car,0.88,13,812,292,1073,474,IDLC,0.15,57,115,123,132,IDLC
776,car,0.89,13,801,292,1069,477,Q34,0.68,57,117,125,135,Q34
777,car,0.88,13,789,292,1064,481,B31C,0.11,59,120,129,138,B31C
778,car,0.87,13,777,291,1061,486,4ZKC,0.14,59,123,131,142,4ZKC
779,car,0.89,13,764,291,1056,489,L3743L7,0.09,61,126,134,145,L3743L7
780,car,0.88,13,750,290,1051,495,437431C,0.26,63,130,138,151,437431C
781,car,0.92,13,736,290,1046,499,HBZ13LXC,0.24,64,134,139,153,HBZ13LXC
782,car,0.92,13,721,290,1042,505,K3LG,0.19,63,137,143,158,K3LG
783,car,0.90,13,705,289,1037,511,X33LG,0.18,64,142,146,163,X33LG
784,car,0.93,13,688,288,1029,516,X37ETKC,0.23,65,148,149,168,X37ETKC
785,car,0.93,13,668,287,1024,521,3713EKC,0.34,67,152,155,173,3713EKC
786,car,0.93,13,648,287,1018,527,J3ZRLXC,0.17,69,156,160,179,J3ZRLXC
787,car,0.94,13,629,285,1012,534,W13EKC,0.14,70,163,160,185,W13EKC
788,car,0.92,13,606,285,1005,540,B31C,0.23,71,167,166,190,B31C
789,car,0.89,13,583,284,1000,548,IE,0.13,72,172,171,198,IE
790,car,0.92,13,557,284,994,557,43731C,0.62,73,177,177,204,43731C
791,car,0.92,13,528,284,983,565,13213270,0.13,75,183,183,210,13213270
792,car,0.93,13,500,283,975,574,383701,0.04,76,189,189,220,383701
793,car,0.88,13,468,282,965,587,12713471,0.13,75,198,194,226,12713471
794,car,0.93,13,431,280,955,599,TZE73,0.16,78,208,201,238,TZE73
795,car,0.93,13,395,279,945,612,373IEI,0.10,77,218,207,250,373IEI
796,car,0.93,13,351,278,934,623,1773Z,0.04,79,226,212,263,1773Z
797,car,0.94,13,304,277,922,641,E321,0.04,83,236,219,276,E321
798,car,0.87,13,250,275,910,655,3272,0.20,81,252,231,292,3272
799,car,0.85,13,194,270,899,675,2U72,0.06,78,270,245,314,2U72
800,car,0.93,13,130,267,883,698,0I2031,0.04,80,288,243,333,0I2031
801,car,0.91,13,54,264,868,720,34E0Z4,0.03,78,311,258,356,34E0Z4
802,car,0.92,13,8,262,852,747,EI,0.12,33,332,226,385,EI
872,car,0.85,18,1246,316,1367,412,172,0.30,55,64,78,72,172
873,car,0.86,18,1246,316,1369,413,VM,0.03,58,64,80,73,VM
