iter	Passed	Remaining
1299	16411	8836
1300	16420	8822
1301	16437	8812
1302	16447	8797
1303	16459	8785
1304	16469	8770
1305	16480	8757
1306	16517	8757
1307	16535	8747
1308	16544	8733
1309	16592	8739
1310	16599	8723
1311	16616	8713
1312	16623	8698
1313	16633	8683
1314	16652	8674
1315	16665	8662
1316	16673	8646
1317	16720	8651
1318	16731	8638
1319	16742	8624
1320	16750	8610
1321	16787	8609
1322	16796	8595
1323	16809	8582
1324	16824	8570
1325	16837	8558
1326	16849	8545
1327	16862	8532
1328	16869	8517
1329	16877	8502
1330	16888	8488
1331	16900	8475
1332	16908	8460
1333	16919	8446
1334	16926	8431
1335	16943	8421
1336	16969	8414
1337	16982	8402
1338	16993	8388
1339	17044	8395
1340	17057	8382
1341	17063	8366
1342	17070	8351
1343	17079	8336
1344	17089	8322
1345	17098	8307
1346	17105	8292
1347	17114	8277
1348	17123	8263
1349	17131	8248
1350	17143	8235
1351	17166	8227
1352	17174	8212
1353	17182	8197
1354	17222	8198
1355	17231	8183
1356	17239	8168
1357	17250	8155
1358	17263	8142
1359	17271	8127
1360	17281	8113
1361	17290	8099
1362	17304	8087
1363	17316	8074
1364	17330	8062
1365	17342	8048
1366	17357	8037
1367	17368	8023
1368	17377	8009
1369	17387	7995
1370	17399	7982
1371	17408	7968
1372	17419	7954
1373	17438	7945
1374	17447	7930
1375	17465	7920
1376	17476	7906
1377	17483	7891
1378	17495	7878
1379	17508	7866
1380	17518	7852
1381	17526	7837
1382	17537	7824
1383	17550	7811
1384	17557	7796
1385	17566	7781
1386	17573	7766
1387	17583	7752
1388	17590	7737
1389	17600	7723
1390	17609	7709
1391	17630	7700
1392	17648	7690
1393	17659	7676
1394	17670	7663
1395	17680	7649
1396	17690	7635
1397	17699	7621
1398	17711	7608
1399	17721	7594
1400	17730	7580
1401	17741	7567
1402	17749	7552
1403	17757	7537
1404	17764	7523
1405	17781	7512
1406	17791	7498
1407	17801	7484
1408	17812	7471
1409	17825	7459
1410	17844	7448
1411	17852	7434
1412	17861	7420
1413	17873	7407
1414	17882	7393
1415	17889	7377
1416	17897	7363
1417	17905	7349
1418	17914	7335
1419	17924	7321
1420	17932	7306
1421	17942	7293
1422	17953	7279
1423	17961	7265
1424	17978	7254
1425	17988	7240
1426	17998	7227
1427	18009	7213
1428	18016	7198
1429	18024	7184
1430	18031	7169
1431	18041	7156
1432	18058	7145
1433	18067	7131
1434	18077	7117
1435	18086	7103
1436	18095	7089
1437	18105	7075
1438	18115	7062
1439	18125	7048
1440	18133	7034
1441	18142	7020
1442	18165	7012
1443	18175	6998
1444	18196	6989
1445	18212	6977
1446	18221	6963
1447	18228	6949
1448	18246	6938
1449	18258	6925
1450	18274	6914
1451	18286	6901
1452	18295	6887
1453	18307	6874
1454	18316	6860
1455	18324	6846
1456	18335	6833
1457	18344	6819
1458	18352	6805
1459	18369	6794
1460	18380	6781
1461	18389	6767
1462	18400	6753
1463	18408	6739
1464	18415	6725
1465	18427	6712
1466	18436	6698
1467	18446	6684
1468	18456	6671
1469	18467	6658
1470	18475	6643
1471	18484	6630
1472	18494	6616
1473	18503	6602
1474	18514	6590
1475	18528	6578
1476	18539	6564
1477	18553	6552
1478	18562	6539
1479	18581	6528
1480	18593	6515
1481	18605	6503
1482	18615	6489
1483	18623	6475
1484	18640	6464
1485	18649	6450
1486	18659	6437
1487	18682	6428
1488	18696	6416
1489	18704	6402
1490	18717	6389
1491	18729	6377
1492	18739	6363
1493	18748	6349
1494	18759	6336
1495	18784	6328
1496	18795	6315
1497	18844	6315
1498	18851	6300
1499	18859	6286
1500	18865	6271
1501	18873	6257
1502	18882	6244
1503	18894	6231
1504	18903	6217
1505	18916	6204
1506	18927	6191
1507	18936	6178
1508	18945	6164
1509	18952	6150
1510	18965	6137
1511	18975	6124
1512	18983	6110
1513	18992	6096
1514	19015	6087
1515	19032	6076
1516	19043	6063
1517	19053	6050
1518	19061	6035
1519	19074	6023
1520	19085	6010
1521	19101	5999
1522	19110	5985
1523	19120	5971
1524	19130	5958
1525	19157	5950
1526	19168	5937
1527	19178	5924
1528	19189	5911
1529	19199	5897
1530	19214	5885
1531	19227	5873
1532	19235	5859
1533	19244	5846
1534	19259	5834
1535	19268	5820
1536	19276	5806
1537	19286	5793
1538	19297	5780
1539	19309	5767
1540	19318	5754
1541	19327	5740
1542	19344	5729
1543	19355	5716
1544	19364	5702
1545	19374	5689
1546	19386	5676
1547	19396	5663
1548	19404	5649
1549	19413	5636
1550	19424	5623
1551	19434	5609
1552	19448	5597
1553	19458	5584
1554	19466	5570
1555	19476	5557
1556	19492	5546
1557	19501	5532
1558	19512	5519
1559	19522	5506
1560	19537	5494
1561	19554	5483
1562	19566	5470
1563	19574	5456
1564	19585	5443
1565	19595	5430
1566	19609	5418
1567	19619	5405
1568	19630	5392
1569	19642	5379
1570	19650	5365
1571	19662	5353
1572	19677	5341
1573	19688	5328
1574	19706	5317
1575	19713	5303
1576	19722	5290
1577	19735	5277
1578	19744	5264
1579	19758	5252
1580	19766	5238
1581	19778	5225
1582	19790	5213
1583	19803	5200
1584	19813	5187
1585	19822	5174
1586	19831	5161
1587	19839	5147
1588	19850	5134
1589	19863	5122
1590	19872	5108
1591	19882	5095
1592	19890	5081
1593	19903	5069
1594	19916	5057
1595	19924	5043
1596	19932	5030
1597	19942	5016
1598	19956	5004
1599	19966	4991
1600	19974	4977
1601	19983	4964
1602	19992	4951
1603	19998	4937
1604	20007	4924
1605	20015	4910
1606	20022	4896
1607	20060	4890
1608	20074	4878
1609	20087	4865
1610	20094	4852
1611	20107	4839
1612	20124	4828
1613	20138	4816
1614	20149	4803
1615	20160	4790
1616	20176	4779
1617	20187	4766
1618	20198	4753
1619	20210	4740
1620	20220	4727
1621	20228	4714
1622	20237	4700
1623	20245	4687
1624	20254	4674
1625	20264	4661
1626	20273	4647
1627	20280	4634
1628	20293	4621
1629	20309	4610
1630	20319	4597
1631	20331	4584
1632	20341	4571
1633	20350	4558
1634	20357	4544
1635	20369	4532
1636	20378	4518
1637	20385	4505
1638	20403	4493
1639	20413	4480
1640	20425	4468
1641	20438	4456
1642	20450	4443
1643	20460	4430
1644	20468	4417
1645	20481	4404
1646	20493	4392
1647	20503	4379
1648	20512	4366
1649	20523	4353
1650	20536	4341
1651	20544	4327
1652	20552	4314
1653	20563	4301
1654	20572	4288
1655	20579	4274
1656	20586	4261
1657	20598	4248
1658	20610	4236
1659	20627	4224
1660	20639	4212
1661	20649	4199
1662	20660	4186
1663	20677	4175
1664	20688	4162
